,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
70,1628412,00,0,96,2,1472.0,220,568,0.387323,47,160,0.29375,135,176,0.767045,39,142,181,242,52,14,107,110,622
71,1629726,00,0,18,0,227.0,24,56,0.428571,19,46,0.413043,31,34,0.911764,6,18,24,10,8,1,8,32,98
72,202083,00,0,786,725,25108.0,3546,8373,0.423504,1656,4347,0.380952,1618,1964,0.823828,404,1996,2400,1695,827,155,999,1706,10366
73,1627775,00,0,194,43,3341.0,291,695,0.418705,92,302,0.304635,81,104,0.778846,63,253,316,266,137,31,123,227,755
74,203468,00,0,473,376,14553.0,3353,7375,0.454644,997,2509,0.397369,1020,1233,0.82725,284,1260,1544,1464,404,177,824,1022,8723
75,204456,00,0,377,75,8104.0,1071,2178,0.491735,88,263,0.3346,189,243,0.777777,179,885,1064,1778,444,61,588,549,2419
76,1629667,00,0,16,0,293.0,33,70,0.471428,9,24,0.375,14,17,0.823529,15,50,65,13,8,3,11,36,89
77,203926,00,0,403,14,8039.0,1241,2669,0.464968,494,1195,0.413389,326,395,0.825316,143,739,882,339,77,40,246,567,3302
78,201580,00,0,694,310,12025.0,2350,4090,0.574572,5,33,0.151515,782,1321,0.591975,1298,2275,3573,274,281,1075,660,1507,5487
79,203585,00,0,212,115,4564.0,473,1150,0.411304,189,559,0.338103,115,179,0.642458,191,464,655,283,113,41,145,343,1250
80,1628035,00,0,126,6,1650.0,215,461,0.466377,59,192,0.307291,51,82,0.621951,119,248,367,46,42,24,59,214,540
81,1629162,00,0,30,2,590.0,87,178,0.488764,29,76,0.381578,26,39,0.666666,7,42,49,125,34,4,31,31,229
82,203463,00,0,431,253,10161.0,1384,3291,0.42054,593,1633,0.363135,497,637,0.780219,194,854,1048,461,285,83,507,959,3858
83,203895,00,0,123,9,1697.0,302,724,0.417127,83,234,0.3547,159,206,0.771844,34,191,225,167,45,30,87,147,846
84,1629740,00,0,52,6,889.0,123,278,0.442446,65,180,0.361111,44,60,0.733333,37,120,157,67,30,19,42,105,355
85,1629001,00,0,102,39,1995.0,248,609,0.407224,66,212,0.31132,108,134,0.80597,62,265,327,316,133,41,153,205,670
86,1629002,00,0,45,0,218.0,39,93,0.419354,0,3,0.0,19,25,0.76,19,43,62,19,7,6,20,18,97
87,203114,00,0,510,435,16083.0,3024,6609,0.457557,889,2267,0.392148,1351,1545,0.874433,302,2061,2363,1693,642,96,970,1326,8288
