,PLAYER_NAME_LAST_FIRST,PLAYER_ID,GAMESTREAK,STARTDATE,ENDDATE,ACTIVESTREAK,NUMSEASONS,LASTSEASON,FIRSTSEASON,PTS,PTS_PG
81,"Allen, Ray",951,126,2006-01-20T00:00:00,2008-01-02T00:00:00,0,3,2007-08,2005-06,3093,24.5
82,"Walker, Antoine",952,126,2000-03-31T00:00:00,2002-01-09T00:00:00,0,3,2001-02,1999-00,2891,22.9
83,"Barkley, Charles",787,124,1994-12-12T00:00:00,1996-03-29T00:00:00,0,2,1995-96,1994-95,2964,23.9
84,"Lee, David",101135,123,2012-11-05T00:00:00,2014-01-30T00:00:00,0,2,2013-14,2012-13,2327,18.9
85,"Johnson, Eddie",698,121,1983-11-15T00:00:00,1985-02-05T00:00:00,0,2,1984-85,1983-84,2767,22.9
86,"Westbrook, Russell",201566,120,2016-01-15T00:00:00,2017-04-09T00:00:00,0,2,2016-17,2015-16,3441,28.7
88,"Thomas, Isiah",78318,119,1983-10-28T00:00:00,1985-01-13T00:00:00,0,2,1984-85,1983-84,2622,22.0
87,"Booker, Devin",1626164,119,2016-12-29T00:00:00,2018-11-28T00:00:00,0,3,2018-19,2016-17,2930,24.6
89,"Leonard, Kawhi",202695,117,2017-12-21T00:00:00,2020-03-10T00:00:00,1,3,2019-20,2017-18,3080,26.3
90,"Lillard, Damian",203081,117,2013-12-14T00:00:00,2015-03-01T00:00:00,0,2,2014-15,2013-14,2485,21.2
91,"Lowry, Kyle",200768,114,2015-04-10T00:00:00,2017-01-01T00:00:00,0,3,2016-17,2014-15,2448,21.5
92,"DeRozan, DeMar",201942,113,2016-02-28T00:00:00,2017-11-24T00:00:00,0,3,2017-18,2015-16,2963,26.2
93,"Abdur-Rahim, Shareef",949,113,2000-02-24T00:00:00,2001-11-03T00:00:00,0,3,2001-02,1999-00,2299,20.3
94,"Towns, Karl-Anthony",1626157,111,2018-10-19T00:00:00,2020-02-10T00:00:00,1,2,2019-20,2018-19,2798,25.2
95,"Wade, Dwyane",2548,111,2010-11-24T00:00:00,2012-04-19T00:00:00,0,2,2011-12,2010-11,2745,24.7
96,"Leonard, Kawhi",202695,110,2016-01-14T00:00:00,2017-12-15T00:00:00,0,3,2017-18,2015-16,2668,24.3
97,"Pippen, Scottie",937,110,1993-11-05T00:00:00,1995-01-22T00:00:00,0,2,1994-95,1993-94,2376,21.6
98,"Malone, Karl",252,110,1990-04-15T00:00:00,1991-12-13T00:00:00,0,3,1991-92,1989-90,3173,28.8
99,"Barkley, Charles",787,110,1988-03-23T00:00:00,1989-12-08T00:00:00,0,3,1989-90,1987-88,2845,25.9
