,id,full_name,first_name,last_name,is_active
1677,76972,Connie Hawkins,Connie,Hawkins,False
1678,765,Hersey Hawkins,Hersey,Hawkins,False
1679,1038,Juaquin Hawkins,Juaquin,Hawkins,False
1680,76974,Marshall Hawkins,Marshall,Hawkins,False
1681,1138,Michael Hawkins,Michael,Hawkins,False
1682,76975,Robert Hawkins,Robert,Hawkins,False
1683,76977,Tom Hawkins,Tom,Hawkins,False
1684,76978,Nate Hawthorne,Nate,Hawthorne,False
1685,101236,Chuck Hayes,Chuck,Hayes,False
1686,76979,Elvin Hayes,Elvin,Hayes,False
1687,2553,Jarvis Hayes,Jarvis,Hayes,False
1688,1629637,Jaxson Hayes,Jaxson,Hayes,True
1689,1628502,Nigel Hayes,Nigel,Hayes,False
1690,76980,Steve Hayes,Steve,Hayes,False
1691,202330,Gordon Hayward,Gordon,Hayward,True
1692,202351,Lazar Hayward,Lazar,Hayward,False
1693,2217,Brendan Haywood,Brendan,Haywood,False
1694,76981,Spencer Haywood,Spencer,Haywood,False
1695,76982,John W. Hazen,John W.,Hazen,False
1696,76983,Walt Hazzard,Walt,Hazzard,False
1697,101129,Luther Head,Luther,Head,False
1698,1049,Shane Heal,Shane,Heal,False
1699,76984,Brian Heaney,Brian,Heaney,False
1700,76985,Garfield Heard,Garfield,Heard,False
1701,203687,Reggie Hearn,Reggie,Hearn,False
1702,76986,Herm Hedderick,Herm,Hedderick,False
1703,76987,Alvin Heggs,Alvin,Heggs,False
1704,76988,Tom Heinsohn,Tom,Heinsohn,False
1705,76989,Dick Hemric,Dick,Hemric,False
1706,673,Alan Henderson,Alan,Henderson,False
1707,1538,Cedric Henderson,Cedric,Henderson,False
1708,76990,Cedric Henderson,Cedric,Henderson,False
1709,76991,Dave Henderson,Dave,Henderson,False
1710,76993,Gerald Henderson,Gerald,Henderson,False
1711,201945,Gerald Henderson,Gerald,Henderson,False
1712,1764,J.R. Henderson,J.R.,Henderson,False
1713,76992,Jerome Henderson,Jerome,Henderson,False
1714,76994,Kevin Henderson,Kevin,Henderson,False
1715,76996,Tom Henderson,Tom,Henderson,False
1716,971,Mark Hendrickson,Mark,Hendrickson,False
1717,76998,Larry Hennessy,Larry,Hennessy,False
1718,76999,Don Henriksen,Don,Henriksen,False
1719,77000,Al Henry,Al,Henry,False
1720,77004,Bill Henry,Bill,Henry,False
1721,77001,Carl Henry,Carl,Henry,False
1722,77002,Conner Henry,Conner,Henry,False
1723,1627988,Myke Henry,Myke,Henry,False
1724,77003,Skeeter Henry,Skeeter,Henry,False
1725,202333,Xavier Henry,Xavier,Henry,False
1726,203089,John Henson,John,Henson,True
1727,1667,Steve Henson,Steve,Henson,False
1728,77006,Bill Herman,Bill,Herman,False
1729,77007,Clarence Hermsen,Clarence,Hermsen,False
1730,1629608,Dewan Hernandez,Dewan,Hernandez,True
1731,1627823,Juancho Hernangomez,Juancho,Hernangomez,True
1732,1626195,Willy Hernangomez,Willy,Hernangomez,True
1733,1914,Chris Herren,Chris,Herren,False
1734,61,Carl Herrera,Carl,Herrera,False
1735,200835,Walter Herrmann,Walter,Herrmann,False
1736,1629639,Tyler Herro,Tyler,Herro,True
1737,77010,Keith Herron,Keith,Herron,False
1738,77011,Sidney Hertzberg,Sidney,Hertzberg,False
1739,1628987,Kevin Hervey,Kevin,Hervey,True
1740,77012,Fred Hetzel,Fred,Hetzel,False
1741,77013,Bill Hewitt,Bill,Hewitt,False
1742,77014,Jack Hewson,Jack,Hewson,False
1743,77015,Art Heyman,Art,Heyman,False
1744,1626209,Mario Hezonja,Mario,Hezonja,True
1745,201579,Roy Hibbert,Roy,Hibbert,False
1746,77016,Matthew Hickey,Matthew,Hickey,False
1747,1628439,Isaiah Hicks,Isaiah,Hicks,False
1748,77017,Phil Hicks,Phil,Hicks,False
1749,201581,JJ Hickson,JJ,Hickson,False
1750,1627741,Buddy Hield,Buddy,Hield,True
1751,202809,Cory Higgins,Cory,Higgins,False
1752,1848,Mike Higgins,Mike,Higgins,False
1753,77019,Rod Higgins,Rod,Higgins,False
1754,925,Sean Higgins,Sean,Higgins,False
1755,77021,Kenny Higgs,Kenny,Higgs,False
1756,77022,Johnny High,Johnny,High,False
1757,1629312,Haywood Highsmith,Haywood,Highsmith,False
1758,77023,Wayne Hightower,Wayne,Hightower,False
1759,77024,Armond Hill,Armond,Hill,False
1760,77025,Cleo Hill,Cleo,Hill,False
1761,77026,Gary Hill,Gary,Hill,False
1762,201588,George Hill,George,Hill,True
1763,255,Grant Hill,Grant,Hill,False
1764,201195,Herbert Hill,Herbert,Hill,False
1765,201941,Jordan Hill,Jordan,Hill,False
1766,203524,Solomon Hill,Solomon,Hill,True
1767,201631,Steven Hill,Steven,Hill,False
1768,238,Tyrone Hill,Tyrone,Hill,False
1769,77027,Art Hillhouse,Art,Hillhouse,False
1770,1626199,Darrun Hilliard,Darrun,Hilliard,False
1771,77028,Darnell Hillman,Darnell,Hillman,False
1772,77029,Fred Hilton,Fred,Hilton,False
1773,2550,Kirk Hinrich,Kirk,Hinrich,False
1774,77030,Roy Hinson,Roy,Hinson,False
1775,77031,Mel Hirsch,Mel,Hirsch,False
1776,77032,Lew Hitch,Lew,Hitch,False
1777,200823,Robert Hite,Robert,Hite,False
1778,1629658,Jaylen Hoard,Jaylen,Hoard,True
1779,202359,Darington Hobson,Darington,Hobson,False
1780,1106,Donald Hodge,Donald,Hodge,False
1781,101125,Julius Hodge,Julius,Hodge,False
1782,77034,Craig Hodges,Craig,Hodges,False
1783,77035,Adolph Hoefer,Adolph,Hoefer,False
1784,77036,Paul 'The Bear' Hoffman,Paul 'The Bear',Hoffman,False
1785,77037,Bob Hogsett,Bob,Hogsett,False
1786,77038,Paul Hogue,Paul,Hogue,False
1787,697,Fred Hoiberg,Fred,Hoiberg,False
1788,77039,Doug Holcomb,Doug,Holcomb,False
1789,2450,Randy Holcomb,Randy,Holcomb,False
1790,1628988,Aaron Holiday,Aaron,Holiday,True
